Slug,Name,Partner,Short Description,Full Description,Video URL,Category,Tags,Claim Instructions,Form Fields (JSON),Status,Is Active,Sample Deliverable,Champion Name,Champion Title,Champion Brand,Champion Avatar URL,Champion LinkedIn URL,Created At
nofraud-audit,Free Fraud Audit,NoFraud,Uncover hidden fraud patterns and bad actors in your order history,"Get a diagnostic review of your recent transactions to identify fraud patterns, policy abuse, and bad actors you may have missed. NoFraud's analysts will analyze your order data and provide actionable insights on where you're losing money to fraud.",,Operations,"Fraud, Security, Audit",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_orders"",""type"":""select"",""label"":""Monthly order volume"",""required"":true,""options"":[""<1k"",""1k-5k"",""5k-10k"",""10k-25k"",""25k+""]},{""id"":""current_solution"",""type"":""text"",""label"":""Current fraud solution"",""required"":false,""placeholder"":""e.g., Signifyd, manual review, none""},{""id"":""biggest_concern"",""type"":""textarea"",""label"":""Biggest fraud concern"",""required"":false,""placeholder"":""What fraud challenges are you facing?""}]",active,true,sample-fraud-audit.pdf,Sarah Chen,VP of Operations,Glossier,/avatars/sarah-chen.jpg,,2024-01-15
orita-audit,Klaviyo Subscriber Engagement Audit,Orita,Discover which subscribers are actually engaged and which are hurting your deliverability,"Get a detailed analysis of your Klaviyo subscriber list to identify engagement patterns, dormant subscribers dragging down your deliverability, and opportunities to improve campaign performance. Orita will segment your list and show you exactly where you're leaving money on the table.",,"Email, SMS & Subscribers","Email, Klaviyo, Engagement, Audit",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""klaviyo_size"",""type"":""select"",""label"":""Klaviyo account size"",""required"":true,""options"":[""<10k"",""10k-50k"",""50k-100k"",""100k-500k"",""500k+""]},{""id"":""send_frequency"",""type"":""select"",""label"":""Current email send frequency"",""required"":true,""options"":[""Daily"",""2-3x/week"",""Weekly"",""Less than weekly""]},{""id"":""email_challenge"",""type"":""textarea"",""label"":""Biggest email challenge"",""required"":false,""placeholder"":""What email marketing challenges are you facing?""}]",active,true,,,,,,,2024-01-20
treet-audit,Resale Marketplace Audit,Treet,See how much revenue you're losing to eBay and Poshmark resellers,"Get a breakdown of your brand's presence on third-party resale marketplaces like eBay, Poshmark, and ThredUp. Treet will analyze resale activity for your products and show you the revenue opportunity you're missing by not owning your resale channel.",,Marketplaces,"Resale, Marketplace, Sustainability",,"[{""id"":""brand_name"",""type"":""text"",""label"":""Brand name"",""required"":true},{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""product_category"",""type"":""select"",""label"":""Product category"",""required"":true,""options"":[""Apparel"",""Footwear"",""Accessories"",""Home"",""Other""]},{""id"":""has_resale"",""type"":""select"",""label"":""Do you currently have a resale program?"",""required"":true,""options"":[""Yes"",""No"",""Considering""]}]",active,true,,,,,,,2024-02-01
aix-audit,Amazon Clarity Audit,Agency AIX,Discover thousands in wasted Amazon ad spend you didn't know existed,"Amazon provides the answers — just not in one place. The Amazon Clarity Audit pulls seven separate Amazon reports into a single source of truth, so revenue, ad spend, and efficiency can be evaluated together instead of in isolation.

In 7 days, you'll get:
• A clear diagnosis of what's actually driving results
• Specific waste and leakage identified (it's more than you think)
• Portfolio and campaign structure review with a clear path forward
• Product-level insights showing which ASINs deserve more budget
• A prioritized 30-Day Action Plan with specific changes and expected impact

Recent audits have found $300K+ in wasted spend and $75K-$150K in unlockable incremental ad sales.",,Marketplaces,"Amazon, Advertising, Audit, PPC","1. Review NDA
2. Grant view-only Seller Central access
3. AIX conducts audit (7 days)
4. Review findings together on a call","[{""id"":""brand_name"",""type"":""text"",""label"":""Brand name"",""required"":true},{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""account_type"",""type"":""select"",""label"":""Amazon Seller Central or Vendor Central?"",""required"":true,""options"":[""Seller Central"",""Vendor Central"",""Both""]},{""id"":""monthly_spend"",""type"":""select"",""label"":""Monthly Amazon ad spend"",""required"":true,""options"":[""<$10k"",""$10k-$25k"",""$25k-$50k"",""$50k-$100k"",""$100k+""]},{""id"":""product_category"",""type"":""text"",""label"":""Primary product category on Amazon"",""required"":false,""placeholder"":""e.g., Health & Household, Beauty""},{""id"":""biggest_challenge"",""type"":""textarea"",""label"":""What's your biggest Amazon challenge right now?"",""required"":false}]",active,true,sample-amazon-audit.pdf,Marcus Johnson,Head of E-commerce,Allbirds,/avatars/marcus-johnson.jpg,,2024-02-10
polar-test,AI Analytics Test Drive,Polar Analytics,Test Claude AI with your Shopify data using 10 free prompts,"Experience the power of AI-driven analytics with your own data. Polar will set up Claude with access to your Shopify metrics so you can ask questions, get insights, and see what AI-powered analysis can do for your brand. You'll get 10 prompts to explore your data in ways spreadsheets never could.

What you can ask:
• ""What's driving my CAC increase this month?""
• ""Which products should I reorder and when?""
• ""How is my email performance trending vs. paid?""
• ""What would happen if I cut Meta spend by 20%?""",,Analytics & Insights,"Analytics, AI, Data, Shopify",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_revenue"",""type"":""select"",""label"":""Monthly revenue"",""required"":true,""options"":[""<$100k"",""$100k-$500k"",""$500k-$1M"",""$1M-$5M"",""$5M+""]},{""id"":""data_questions"",""type"":""textarea"",""label"":""What data questions keep you up at night?"",""required"":false,""placeholder"":""What would you want to ask an AI about your business?""}]",active,true,,Emily Rodriguez,Director of Growth,Warby Parker,/avatars/emily-rodriguez.jpg,,2024-02-15
finsi-audit,Subscription Data Deep Dive,Finsi,Get AI-powered insights into your subscription metrics and retention opportunities,"Stop guessing about your subscription performance. Finsi will analyze your Recharge/subscription data alongside your Shopify and marketing data to deliver a comprehensive report on your retention intelligence, predictive LTV, and where you're leaving money on the table.

You'll get insights on:
• Churn risk segments and intervention opportunities
• LTV predictions by cohort and acquisition source
• Subscription vs. one-time purchase behavior patterns
• Specific recommendations to improve retention",,Retention & Loyalty,"Subscription, Retention, LTV, Churn",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""subscription_platform"",""type"":""select"",""label"":""Subscription platform"",""required"":true,""options"":[""Recharge"",""Skio"",""Smartrr"",""Loop"",""Other""]},{""id"":""monthly_revenue"",""type"":""select"",""label"":""Monthly subscription revenue"",""required"":true,""options"":[""<$50k"",""$50k-$200k"",""$200k-$500k"",""$500k+""]},{""id"":""retention_challenge"",""type"":""textarea"",""label"":""Biggest subscription/retention challenge"",""required"":false}]",active,true,sample-subscription-report.pdf,David Kim,VP of Retention,OLIPOP,/avatars/david-kim.jpg,,2024-02-20
enavi-audit,Google Analytics & CRO Audit,Enavi,Uncover why visitors aren't converting with a data-driven CRO analysis,"Get a comprehensive audit of your Shopify store's conversion performance. Enavi will analyze your Google Analytics data alongside customer behavior patterns to identify exactly where you're losing potential customers and what's blocking conversions.

You'll receive:
• Funnel analysis showing where visitors drop off
• Page-level conversion insights
• Customer journey friction points
• Prioritized list of optimization opportunities
• Quick wins you can implement immediately",,Analytics & Insights,"CRO, Conversion, Analytics, Optimization",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_traffic"",""type"":""select"",""label"":""Monthly traffic"",""required"":true,""options"":[""<10k"",""10k-50k"",""50k-100k"",""100k+""]},{""id"":""conversion_rate"",""type"":""text"",""label"":""Current conversion rate"",""required"":false,""placeholder"":""e.g., 2.5%""},{""id"":""cro_experience"",""type"":""select"",""label"":""Have you done CRO work before?"",""required"":true,""options"":[""Yes - in-house"",""Yes - with an agency"",""No""]}]",active,true,,,,,,,2024-03-01
favsolution-audit,Site Speed Audit,Fav Solution,Find out what's slowing down your store and costing you conversions,"Slow sites kill conversions. Fav Solution will analyze your Shopify store's performance to identify exactly what's dragging down your page speed and provide a prioritized fix list.

The audit covers:
• Core Web Vitals analysis (LCP, FID, CLS)
• App bloat identification
• Theme code inefficiencies
• Image and asset optimization opportunities
• Third-party script impact assessment
• Mobile vs. desktop performance gaps",,Site & Checkout,"Speed, Performance, Shopify, Optimization",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""shopify_plan"",""type"":""select"",""label"":""Shopify plan"",""required"":true,""options"":[""Basic"",""Shopify"",""Advanced"",""Plus""]},{""id"":""speed_issues"",""type"":""textarea"",""label"":""Are you experiencing specific speed issues?"",""required"":false}]",active,true,,,,,,,2024-03-05
goaudience-report,Personas Breakdown Report,GoAudience,Discover who your best customers actually are with AI-driven persona analysis,"Stop guessing who your customers are. GoAudience will analyze your customer data to generate data-driven persona profiles that show you exactly who's buying, why they buy, and how to find more of them.

Your report includes:
• AI-generated customer personas based on actual purchase behavior
• Segment-level insights on acquisition source, LTV, and purchase patterns
• Creative and messaging recommendations for each persona
• Audience recommendations for Meta and TikTok targeting",,Analytics & Insights,"Personas, Audience, Segmentation, Targeting",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_orders"",""type"":""select"",""label"":""Monthly orders"",""required"":true,""options"":[""<500"",""500-2k"",""2k-5k"",""5k-10k"",""10k+""]},{""id"":""primary_channel"",""type"":""select"",""label"":""Primary acquisition channel"",""required"":true,""options"":[""Meta"",""Google"",""TikTok"",""Organic"",""Email"",""Other""]},{""id"":""has_personas"",""type"":""select"",""label"":""Do you have defined customer personas today?"",""required"":true,""options"":[""Yes"",""Somewhat"",""No""]}]",active,true,sample-personas-report.pdf,,,,,,2024-03-10
onward-model,Premiums Financial Impact Model,Onward,See exactly how much revenue shipping protection and post-purchase premiums could generate,"Onward will build a custom financial model based on your order data to show the revenue potential of adding shipping protection and post-purchase premiums to your store.

The model includes:
• Projected premium attach rate based on your AOV and category
• Revenue projection for shipping protection
• Claims cost offset analysis
• Net profit impact over 12 months
• Comparison to your current post-purchase revenue (if any)",,Retention & Loyalty,"Shipping, Protection, Revenue, Post-Purchase",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_orders"",""type"":""select"",""label"":""Monthly orders"",""required"":true,""options"":[""<1k"",""1k-5k"",""5k-10k"",""10k-25k"",""25k+""]},{""id"":""aov"",""type"":""select"",""label"":""Average order value"",""required"":true,""options"":[""<$50"",""$50-$100"",""$100-$200"",""$200-$500"",""$500+""]},{""id"":""has_protection"",""type"":""select"",""label"":""Do you currently offer shipping protection?"",""required"":true,""options"":[""Yes"",""No""]}]",active,true,,,,,,,2024-03-15
